id,name,platforms,desc
T1055.011,Extra Window Memory Injection,Windows,Adversaries may inject malicious code into process via Extra Window Memory (EWM) in order to evade process-based defenses as well as possibly elevate privileges. EWM injection is…
T1053.005,Scheduled Task,Windows,Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code. There are multiple ways to access the Task…
T1205.002,Socket Filters,"Linux, macOS, Windows","Adversaries may attach filters to a network socket to monitor then activate backdoors used for persistence or command and control. With elevated permissions, adversaries can use…"
T1560.001,Archive via Utility,"Linux, Windows, macOS","Adversaries may use utilities to compress and/or encrypt collected data prior to exfiltration. Many utilities include functionalities to compress, encrypt, or otherwise package…"
T1021.005,VNC,"Linux, Windows, macOS",Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to remotely control machines using Virtual Network Computing (VNC). VNC is a platform-independent…
T1047,Windows Management Instrumentation,Windows,Adversaries may abuse Windows Management Instrumentation (WMI) to execute malicious commands and payloads. WMI is designed for programmers and is the infrastructure for management…
T1113,Screen Capture,"Linux, macOS, Windows",Adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation. Screen capturing functionality may be included as a feature…
T1027.011,Fileless Storage,"Windows, Linux","Adversaries may store data in ""fileless"" formats to conceal malicious activity from defenses. Fileless storage can be broadly defined as any format other than a file. Common…"
T1037,Boot or Logon Initialization Scripts,"macOS, Windows, Linux, Network Devices, ESXi",Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence.(Citation: Mandiant APT29 Eye Spy Email Nov 22)(Citation: Anomali Rocke…
T1557,Adversary-in-the-Middle,"Windows, macOS, Linux, Network Devices",Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as…
T1033,System Owner/User Discovery,"Linux, macOS, Windows, Network Devices","Adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system. They may…"
T1583,Acquire Infrastructure,PRE,"Adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting. A wide variety of infrastructure exists for hosting and orchestrating adversary…"
T1218.011,Rundll32,Windows,"Adversaries may abuse rundll32.exe to proxy execution of malicious code. Using rundll32.exe, vice executing directly (i.e. [Shared…"
T1613,Container and Resource Discovery,Containers,"Adversaries may attempt to discover containers and other resources that are available within a containers environment. Other resources may include images, deployments, pods,…"
T1583.007,Serverless,PRE,"Adversaries may purchase and configure serverless cloud infrastructure, such as Cloudflare Workers, AWS Lambda functions, or Google Apps Scripts, that can be used during…"
T1132.001,Standard Encoding,"Linux, macOS, Windows, ESXi",Adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect. Command and control (C2) information…
T1027.009,Embedded Payloads,"macOS, Windows, Linux",Adversaries may embed payloads within other files to conceal malicious content from defenses. Otherwise seemingly benign files (such as scripts and executables) may be abused to…
T1556.003,Pluggable Authentication Modules,"Linux, macOS",Adversaries may modify pluggable authentication modules (PAM) to access user credentials or enable otherwise unwarranted access to accounts. PAM is a modular system of…
T1578.004,Revert Cloud Instance,IaaS,An adversary may revert changes made to a cloud instance after they have performed malicious activities in attempt to evade detection and remove evidence of their presence. In…
T1592,Gather Victim Host Information,PRE,"Adversaries may gather information about the victim's hosts that can be used during targeting. Information about hosts may include a variety of details, including administrative…"
T1596.003,Digital Certificates,PRE,Adversaries may search public digital certificate data for information about victims that can be used during targeting. Digital certificates are issued by a certificate authority…
T1056.001,Keylogging,"Windows, macOS, Linux, Network Devices",Adversaries may log user keystrokes to intercept credentials as the user types them. Keylogging is likely to be used to acquire credentials for new access opportunities when [OS…
T1564.012,File/Path Exclusions,"Linux, macOS, Windows",Adversaries may attempt to hide their file-based artifacts by writing them to specific folders or file names excluded from antivirus (AV) scanning and other defensive…
T1222.002,Linux and Mac File and Directory Permissions Modification,"macOS, Linux",Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.(Citation: Hybrid Analysis Icacls1 June…
T1110.001,Password Guessing,"Windows, SaaS, IaaS, Linux, macOS, Containers, Network Devices, Office Suite, Identity Provider, ESXi",Adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts. Without knowledge of the password…
T1216.001,PubPrn,Windows,Adversaries may use PubPrn to proxy execution of malicious remote files. PubPrn.vbs is a [Visual Basic](https://attack.mitre.org/techniques/T1059/005) script that publishes a…
T1597.002,Purchase Technical Data,PRE,Adversaries may purchase technical information about victims that can be used during targeting. Information about victims may be available for purchase within reputable private…
T1003,OS Credential Dumping,"Windows, Linux, macOS","Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password. Credentials can be obtained…"
